,train_loss,valid_loss,accuracy_breed,accuracy_species,w,id
2,0.8205131888389587,0.7450088858604431,0.3897158205509186,0.8822733163833618,0.25,28
0,1.1857267618179321,0.9224882125854492,0.2855209708213806,0.8396481871604919,0.25,29
1,0.9741512537002563,0.7791541814804077,0.35520973801612854,0.8545331358909607,0.25,29
2,0.8373621106147766,0.7476031184196472,0.3822733461856842,0.8721244931221008,0.25,29
0,1.2045979499816895,0.9117498397827148,0.29364004731178284,0.8294993042945862,0.25,30
1,0.9778798222541809,0.7824520468711853,0.3694181442260742,0.8633288145065308,0.25,30
2,0.8368005752563477,0.7502081394195557,0.3849796950817108,0.8755074143409729,0.25,30
0,1.309079885482788,0.995432436466217,0.3010825514793396,0.8355886340141296,0.3,31
1,1.0576388835906982,0.8621321320533752,0.36332881450653076,0.8721244931221008,0.3,31
2,0.9147477149963379,0.8295432329177856,0.3728010952472687,0.8795669674873352,0.3,31
0,1.312296748161316,0.9941599369049072,0.332882285118103,0.8416779637336731,0.3,32
1,1.0810874700546265,0.8492705225944519,0.39309877157211304,0.8748308420181274,0.3,32
2,0.9223779439926147,0.823369562625885,0.4147496521472931,0.8788903951644897,0.3,32
0,1.3057903051376343,1.0139706134796143,0.30446550250053406,0.8416779637336731,0.3,33
1,1.0649479627609253,0.8572826981544495,0.371447890996933,0.8714479207992554,0.3,33
2,0.9155300855636597,0.8299515247344971,0.3836265206336975,0.8761840462684631,0.3,33
0,1.3226841688156128,1.015338659286499,0.29905277490615845,0.8437077403068542,0.3,34
1,1.070804238319397,0.8742872476577759,0.3572395145893097,0.8599458932876587,0.3,34
2,0.9236755967140198,0.8363543152809143,0.3863328695297241,0.8761840462684631,0.3,34
0,1.3224245309829712,1.0031177997589111,0.295669823884964,0.8288227319717407,0.3,35
1,1.0845519304275513,0.876271665096283,0.3728010952472687,0.8734776973724365,0.3,35
2,0.9177083373069763,0.8418832421302795,0.3883626461029053,0.8822733163833618,0.3,35
0,1.4189536571502686,1.0926917791366577,0.3064952492713928,0.8294993042945862,0.35,36
1,1.176513433456421,0.9366016387939453,0.3964817225933075,0.8633288145065308,0.35,36
2,1.0157197713851929,0.8973146080970764,0.4133964776992798,0.8721244931221008,0.35,36
0,1.4378461837768555,1.1011173725128174,0.3179973065853119,0.8443843126296997,0.35,37
1,1.1810343265533447,0.942642092704773,0.39986467361450195,0.8667117953300476,0.35,37
2,1.0111371278762817,0.9003100395202637,0.4032476246356964,0.8768606185913086,0.35,37
0,1.4619348049163818,1.1209189891815186,0.3105548024177551,0.8376184105873108,0.35,38
1,1.1938159465789795,0.942733645439148,0.3849796950817108,0.8633288145065308,0.35,38
2,0.9980228543281555,0.9064536094665527,0.3991881012916565,0.8640053868293762,0.35,38
0,1.4433684349060059,1.1017711162567139,0.3152909278869629,0.8159675002098083,0.35,39
1,1.1870366334915161,0.9461794495582581,0.3903924226760864,0.8734776973724365,0.35,39
2,1.0123380422592163,0.8997241854667664,0.40663057565689087,0.8728010654449463,0.35,39
0,1.4190146923065186,1.0982860326766968,0.31461435556411743,0.8437077403068542,0.35,40
1,1.1785495281219482,0.9172857999801636,0.4100135266780853,0.8755074143409729,0.35,40
2,1.0028594732284546,0.8915144205093384,0.4100135266780853,0.8822733163833618,0.35,40
0,1.55402410030365,1.194201111793518,0.32002705335617065,0.8315290808677673,0.4,41
1,1.2886546850204468,1.023650050163269,0.4133964776992798,0.8734776973724365,0.4,41
2,1.0905961990356445,0.9928329586982727,0.41677942872047424,0.8788903951644897,0.4,41
0,1.547134280204773,1.1803086996078491,0.3288227319717407,0.8443843126296997,0.4,42
1,1.2823841571807861,1.0089192390441895,0.3903924226760864,0.8728010654449463,0.4,42
2,1.0922709703445435,0.9750741124153137,0.4120433032512665,0.8782138228416443,0.4,42
0,1.5669926404953003,1.2005891799926758,0.3362652361392975,0.834235429763794,0.4,43
1,1.3073303699493408,1.0439536571502686,0.4073071777820587,0.8599458932876587,0.4,43
2,1.0882443189620972,1.0008721351623535,0.4201623797416687,0.8700947165489197,0.4,43
0,1.5649288892745972,1.222082257270813,0.32002705335617065,0.817320704460144,0.4,44
1,1.296267032623291,1.0398657321929932,0.3883626461029053,0.8734776973724365,0.4,44
2,1.113196611404419,0.9981800317764282,0.4127199053764343,0.8687415719032288,0.4,44
0,1.5678205490112305,1.191365122795105,0.32679295539855957,0.832882285118103,0.4,45
1,1.2909051179885864,1.035527229309082,0.3849796950817108,0.8626522421836853,0.4,45
2,1.1161249876022339,0.999690055847168,0.40121784806251526,0.874154269695282,0.4,45
0,1.6951305866241455,1.2884420156478882,0.3511502146720886,0.8294993042945862,0.45,46
1,1.3837336301803589,1.111374855041504,0.41136670112609863,0.8640053868293762,0.45,46
2,1.1988518238067627,1.0845451354980469,0.424221932888031,0.8734776973724365,0.45,46
0,1.6895649433135986,1.2879526615142822,0.33829498291015625,0.8396481871604919,0.45,47
1,1.420274019241333,1.1106314659118652,0.4018944501876831,0.8565629124641418,0.45,47
2,1.2046796083450317,1.0673483610153198,0.41813260316848755,0.874154269695282,0.45,47
0,1.6622110605239868,1.2923367023468018,0.3403247594833374,0.8382949829101562,0.45,48
1,1.3898731470108032,1.1106483936309814,0.4188092052936554,0.8653585910797119,0.45,48
2,1.172078251838684,1.07213294506073,0.42625167965888977,0.8700947165489197,0.45,48
0,1.6903432607650757,1.3033101558685303,0.3179973065853119,0.8247631788253784,0.45,49
1,1.4048296213150024,1.0971628427505493,0.42354533076286316,0.8728010654449463,0.45,49
2,1.2090867757797241,1.0577410459518433,0.42219215631484985,0.8687415719032288,0.45,49
0,1.695525050163269,1.3147013187408447,0.3389715850353241,0.8294993042945862,0.45,50
